	Gsor	Acau	Ldek	Cper	Alit	Plin	Apla	Ageo	Dcin	Msch	Dand	Acon	Slil
Cbra	20	8	2	8	0	1	0	4	1	1	0	0	1
Prob	19	7	1	2	0	1	3	0	1	0	1	0	0
Bruf	5	13	10	2	0	0	0	0	0	0	0	0	0
Lpac	3	6	3	9	3	2	0	2	0	0	0	0	0
Bgoy	10	4	11	0	0	0	0	0	0	0	0	0	0
Lter	0	0	0	0	5	6	9	0	3	0	0	0	1
Hsti	16	1	1	1	1	0	1	1	0	0	0	0	0
Cpen	0	0	0	0	8	5	0	0	0	0	0	0	0
Bhol	2	4	5	0	0	0	0	0	0	0	0	0	0
Hcou	7	2	0	0	0	0	0	1	0	0	0	0	0
Ivera	6	0	0	0	0	0	0	2	0	0	0	0	0
Plon	0	1	1	2	1	1	0	0	0	0	0	0	0
Fcae1	1	4	0	0	0	0	0	0	0	0	0	0	0
Iedu	3	0	0	0	0	0	0	2	0	0	0	0	0
Cfru	0	0	0	0	1	2	0	0	2	0	0	0	0
Ilau	3	0	0	0	0	0	0	1	0	0	0	0	0
Ptom	0	0	0	0	3	1	0	0	0	0	0	0	0
Eusp	3	0	0	0	0	0	0	0	0	0	0	0	0
Mora	0	0	0	1	0	0	0	0	0	0	0	1	0
Fcae2	0	0	0	1	0	0	0	0	0	0	1	0	0
Indet2	1	0	0	0	0	0	0	0	0	0	0	0	0
Abacc	0	0	0	0	0	0	0	0	0	1	0	0	0
Spou	0	0	0	0	0	0	0	0	0	1	0	0	0
Asya	0	0	0	0	0	1	0	0	0	0	0	0	0
Hglau	0	1	0	0	0	0	0	0	0	0	0	0	0
Jusp	0	1	0	0	0	0	0	0	0	0	0	0	0
Mtom	0	1	0	0	0	0	0	0	0	0	0	0	0
Mset	0	1	0	0	0	0	0	0	0	0	0	0	0
Fcae3	0	0	0	1	0	0	0	0	0	0	0	0	0
Indet1	0	0	0	1	0	0	0	0	0	0	0	0	0
Ipro	0	0	0	1	0	0	0	0	0	0	0	0	0
Smil	0	0	0	0	0	0	1	0	0	0	0	0	0
Myrsp	0	0	0	0	0	0	1	0	0	0	0	0	0
Myrt	0	0	0	0	0	0	0	1	0	0	0	0	0
Asver	0	0	0	1	0	0	0	0	0	0	0	0	0

